epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,293.107,2.69004,4.87836,2.56793,0.00321,0.19541,0.00502,0.00097,3.17956,5.46733,2.92968,0.000269733,0.000269733,0.000269733
2,756.929,2.36209,4.5405,2.32297,0.00248,0.44276,0.00463,0.00107,2.76689,5.01023,2.84692,0.000529336,0.000529336,0.000529336
3,1191.02,2.27135,4.09144,2.30601,0.56803,0.05943,0.05524,0.0145,2.41907,4.4226,2.49139,0.000770612,0.000770612,0.000770612
